Signal Legend:

Key        Signal Name

0        = VGA_Controller:u1|oAddress[0..18]
1        = camera_read:camera_read_0|wraddr[0..18]
2        = HREF_cam
3        = PCLK_cam
4        = camera_read:camera_read_0|pixel_valid

Data Table:

Signals-> 0      1      2 3 4 

sample

-1906     05A69h 0011Bh 1 1 1 
-1905     05A69h 0011Bh 1 0 1 
-1904     05A69h 0011Bh 1 0 1 
-1903     05A6Ah 0011Bh 1 1 0 
-1902     05A6Ah 0011Bh 1 1 0 
-1901     05A6Ah 0011Bh 1 1 0 
-1900     05A6Ah 0011Bh 1 0 0 
-1899     05A6Bh 0011Bh 1 0 1 
-1898     05A6Bh 0011Ch 1 1 1 
-1897     05A6Bh 0011Ch 1 1 1 
-1896     05A6Bh 0011Ch 1 0 1 
-1895     05A6Ch 0011Ch 1 0 1 
-1894     05A6Ch 0011Ch 1 1 0 
-1893     05A6Ch 0011Ch 1 1 0 
-1892     05A6Ch 0011Ch 1 0 0 
-1891     05A6Dh 0011Ch 1 0 0 
-1890     05A6Dh 0011Dh 1 1 1 
-1889     05A6Dh 0011Dh 1 1 1 
-1888     05A6Dh 0011Dh 1 0 1 
-1887     05A6Eh 0011Dh 1 0 1 
-1886     05A6Eh 0011Dh 1 1 0 
-1885     05A6Eh 0011Dh 1 1 0 
-1884     05A6Eh 0011Dh 1 0 0 
-1883     05A6Fh 0011Dh 1 0 0 
-1882     05A6Fh 0011Dh 1 1 1 
-1881     05A6Fh 0011Eh 1 1 1 
-1880     05A6Fh 0011Eh 1 0 1 
-1879     05A70h 0011Eh 1 0 1 
-1878     05A70h 0011Eh 1 1 0 
-1877     05A70h 0011Eh 1 1 0 
-1876     05A70h 0011Eh 1 1 0 
-1875     05A71h 0011Eh 1 0 0 
-1874     05A71h 0011Eh 1 0 1 
-1873     05A71h 0011Fh 1 1 1 
-1872     05A71h 0011Fh 1 1 1 
-1871     05A72h 0011Fh 1 0 1 
-1870     05A72h 0011Fh 1 0 1 
-1869     05A72h 0011Fh 1 1 0 
-1868     05A72h 0011Fh 1 1 0 
-1867     05A73h 0011Fh 1 0 0 
-1866     05A73h 0011Fh 1 0 0 
-1865     05A73h 00120h 1 1 1 
-1864     05A73h 00120h 1 1 1 
-1863     05A74h 00120h 1 0 1 
-1862     05A74h 00120h 1 0 1 
-1861     05A74h 00120h 1 1 0 
-1860     05A74h 00120h 1 1 0 
-1859     05A75h 00120h 1 0 0 
-1858     05A75h 00120h 1 0 0 
-1857     05A75h 00120h 1 1 1 
-1856     05A75h 00121h 1 1 1 
-1855     05A76h 00121h 1 0 1 
-1854     05A76h 00121h 1 0 1 
-1853     05A76h 00121h 1 1 0 
-1852     05A76h 00121h 1 1 0 
-1851     05A77h 00121h 1 1 0 
-1850     05A77h 00121h 1 0 0 
-1849     05A77h 00121h 1 0 1 
-1848     05A77h 00122h 1 1 1 
-1847     05A78h 00122h 1 1 1 
-1846     05A78h 00122h 1 0 1 
-1845     05A78h 00122h 1 0 1 
-1844     05A78h 00122h 1 1 0 
-1843     05A79h 00122h 1 1 0 
-1842     05A79h 00122h 1 0 0 
-1841     05A79h 00122h 1 0 0 
-1840     05A79h 00123h 1 1 1 
-1839     05A7Ah 00123h 1 1 1 
-1838     05A7Ah 00123h 1 0 1 
-1837     05A7Ah 00123h 1 0 1 
-1836     05A7Ah 00123h 1 1 0 
-1835     05A7Bh 00123h 1 1 0 
-1834     05A7Bh 00123h 1 0 0 
-1833     05A7Bh 00123h 1 0 0 
-1832     05A7Bh 00127h 1 1 1 
-1831     05A7Ch 00124h 1 1 1 
-1830     05A7Ch 00124h 1 0 1 
-1829     05A7Ch 00124h 1 0 1 
-1828     05A7Ch 00124h 1 1 0 
-1827     05A7Dh 00124h 1 1 0 
-1826     05A7Dh 00124h 1 1 0 
-1825     05A7Dh 00124h 1 0 0 
-1824     05A7Dh 00124h 1 0 1 
-1823     05A7Eh 00125h 1 1 1 
-1822     05A7Eh 00125h 1 1 1 
-1821     05A7Eh 00125h 1 0 1 
-1820     05A7Eh 00125h 1 0 1 
-1819     05A7Fh 00125h 1 1 0 
-1818     05A7Fh 00125h 1 1 0 
-1817     05A7Fh 00125h 1 0 0 
